Ref Des,Qty,Manufacturer,MPN,Description
C1 C2,2,Samsung,CL21A106KOQNNNG,CAP CER 10UF 16V X5R 0805
J1,1,Amphenol ICC,12401610E4#2A,CONN RCP USB3.1 TYPEC 24P SMD RA
L1,1,Taiyo Yuden,NRS5030T100MMGJ,FIXED IND 10UH 1.7A 70 MOHM SMD
R1 R2,2,Yageo,RC0402JR-075K1L,RES SMD 5.1K OHM 5% 1/16W 0402
R3,1,Yageo,RC0402FR-0743K2L,RES SMD 43.2K OHM 1% 1/16W 0402
R4,1,Yageo,RC0402FR-074K99L,RES SMD 4.99K OHM 1% 1/16W 0402
U1,1,Microchip,MIC2290YML-TR,IC REG BOOST ADJ 750MA 8MLF
